n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
9,45,1,1,1,87,JARDIM PANORAMA,1200.0
6,46,1,1,1,16,VILA CARDIA,1440.0
5,46,1,1,1,26,VILA CARDIA,660.0
7,56,2,2,1,57,RESIDENCIAL PARQUE GRANJA CECILIA B,1500.0
9,84,3,2,2,128,VILA AVIACAO,2300.0
9,120,3,5,2,27,VILA AVIACAO,4000.0
9,40,1,1,1,102,VILA AVIACAO,2000.0
5,150,2,1,3,40,JARDIM NOVA EERANCA,1500.0
9,20,2,1,1,14,JARDIM INFANTE DOM HENRIQUE,1100.0
9,40,1,1,1,42,VILA NOEMY,1400.0
4,125,3,5,3,0,VILA AVIACAO,4500.0
6,90,3,2,2,50,JARDIM ESTORIL II,1850.0
9,60,2,2,2,67,VILA NOVA CIDADE UNIVERSITARIA,1900.0
9,52,2,1,1,51,JARDIM INFANTE DOM HENRIQUE,1550.0
9,71,2,2,1,55,JARDIM SOLANGE,1700.0
5,230,3,3,4,44,PARQUE PAULISTANO,2600.0
9,120,3,5,2,71,VILA AVIACAO,3600.0
5,55,1,1,1,16,JARDIM BELA VISTA,780.0
4,245,3,2,2,0,VILA SAO JOAO DA BOA VISTA,1800.0
4,165,3,2,1,0,CENTRO,1100.0
9,336,5,3,4,1,CENTRO,4000.0
7,47,2,1,1,16,PARQUE PAULISTANO,750.0
6,50,1,1,1,93,CENTRO,550.0
9,32,1,1,1,26,VILA MARACY,1200.0
9,96,2,3,2,69,VILA AVIACAO,2700.0
9,134,3,4,2,68,JARDIM ESTORIL IV,2600.0
4,75,2,2,2,0,VILA SANTA TEREZA,800.0
9,80,3,2,2,93,VILA CIDADE UNIVERSITARIA,1300.0
4,55,2,1,1,0,CENTRO,1100.0
4,100,4,2,2,0,CHACARA DAS FLORES,2400.0
9,32,1,1,1,17,JARDIM PANORAMA,550.0
4,55,2,2,1,0,VILA CARDIA,800.0
9,31,1,1,1,17,VILA CIDADE UNIVERSITARIA,600.0
4,70,2,2,2,0,VILA LEME DA SILVA,2200.0
9,100,3,2,2,42,CENTRO,1400.0
9,330,3,3,-1,36,RESIDENCIAL VILLAGGIO III,6900.0
9,134,3,4,2,69,VILA AVIACAO,4500.0
4,37,2,1,1,0,VILA ALTINOPOLIS,1100.0
9,400,3,6,3,70,RESIDENCIAL VILLA LOBOS,6000.0
9,96,2,3,2,59,VILA AVIACAO,2800.0
4,66,2,1,1,0,JARDIM BRASIL,800.0
9,155,3,4,3,97,VILA SANTO ANTONIO,3300.0
8,10,3,2,2,52,RESIDENCIAL JARDIM JUSSARA,1500.0
4,200,2,1,4,0,VILA NOVA SANTA LUZIA,850.0
5,30,1,1,1,24,JARDIM PANORAMA,800.0
4,350,3,5,2,0,VILA AVIACAO,6900.0
9,440,3,2,2,15,VILA CAROLINA,1500.0
4,44,1,1,1,0,VILA AEROPORTO,1200.0
4,66,2,2,2,0,CENTRO,1500.0
4,25,1,1,-1,0,JARDIM OLIMPICO,600.0
4,30,1,1,-1,0,VILA PACIFICO,490.0
4,31,1,1,-1,0,VILA NOVA CIDADE UNIVERSITARIA,650.0
4,70,3,2,1,0,JARDIM AMERICA,900.0
4,50,2,1,-1,0,PARQUE SANTA EDWIGES,600.0
4,182,3,4,3,0,VILA SANTA TEREZA,4000.0
9,40,1,1,1,43,VILA SANTA TEREZA,1500.0
4,30,1,1,-1,0,JARDIM BRASIL,650.0
4,60,2,2,1,0,CENTRO,680.0
9,48,1,1,1,56,VILA CIDADE UNIVERSITARIA,1200.0
9,60,2,2,1,1,JARDIM PANORAMA,1100.0
9,38,1,1,1,41,VILA SANTA TEREZA,800.0
5,31,1,1,1,32,VILA CIDADE UNIVERSITARIA,1150.0
9,260,3,4,3,67,JARDIM ESTORIL IV,3500.0
9,96,3,3,2,34,VILA AVIACAO,2800.0
4,72,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,1900.0
