aluguel,condominio,iptu,fotos,endereco,description,description_len,features,url
R$ 1.200/mês,R$ 700,,,"Rua Doutor Alípio dos Santos, 14 - Jardim Panorama, Bauru - SP","Localizado próximo a praça da Paz, Uninove, USC, USP e Centrinho o imóvel oferece:
• Fechadura eletrônica com abertura por cartão magnético
• Mobiliado: sofá, armário embutido, cama box (casal ou solteiro), sala com cozinha americana, mesa e cadeira de trabalho
• Cofre eletrônico
• Geladeira
• Micro-ondas
• Coocktop
• Ar condicionado do tipo split
• 1 banheiro com box de vidro
• Água quente (aquecimento a gás)
• Internet wifi
• TV LCD 32”
• TV a cabo
• Interfone
• Varanda
• Vaga de garagem para um carro

Serviços disponíveis no condomínio:
• Portaria 24h
• Academia
• Piscina
• Elevador
• Lavanderia
• Restaurante Bonjardim",87,"['45m²', '1 quarto', '1 banheiro', '1 vaga', 'Lavanderia', 'Conexão à internet', 'Piscina', 'TV a cabo', 'Elevador']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-panorama-bairros-bauru-com-garagem-45m2-aluguel-RS1200-id-2498052106/
R$ 1.440/mês,R$ 360,R$ 31,,"Rua Aviador Gomes Ribeiro - Vila Cardia, Bauru - SP","APARTAMENTO MOBILIADO, sendo 1 suíte, Sala com 2 ambientes, Cozinha e Lavandeira. Uma vaga de Garagem.",16,"['46m²', '1 quarto', '1 banheiro', '1 vaga', 'Mobiliado', 'Cozinha americana']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-cardia-bairros-bauru-com-garagem-46m2-aluguel-RS1440-id-2519898419/
R$ 660/mês,R$ 360,R$ 31,,"Rua Aviador Gomes Ribeiro - Vila Cardia, Bauru - SP","Amplo apartamento de 1 dormitório, com armários na cozinha, quarto e banheiro. Uma vaga de garagem. INCLUSO NO VALOR DO CONDOMÍNIO ÁGUA E GÁS. Excelente localização.",26,"['46m²', '1 quarto', '1 banheiro', '1 vaga', 'Cozinha americana']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-cardia-bairros-bauru-com-garagem-46m2-aluguel-RS660-id-2474014893/
R$ 1.500/mês,R$ 283,,,"Residencial Parque Granja Cecilia B, Bauru - SP","Lindo apartamento 2 dormitórios sendo 1 suíte, completo em armários, banheiro social, cozinha planejada, sala dois ambientes, painel para TV, área de serviços.
Área de lazer do Condomínio: Academia / Sauna / Pet Care / Beauty Care / Salão de Festa / Espaço Gourmet / Churrasqueira / Quadra / Pub / Sala de Games / Brinquedoteca / Bicicletário",57,"['56m²', '2 quartos', '2 banheiros\n1 suíte', '1 vaga', 'Varanda', 'Garagem', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-parque-granja-cecilia-b-bairros-bauru-com-garagem-56m2-aluguel-RS1500-id-2516776251/
R$ 2.300/mês,R$ 620,,,"Rua Augusta Karg, 2-75 - Vila Aviação, Bauru - SP","Ótima localização próximo a av Getúlio Vargas, Padaria, farmácia, mercado, restaurantes, praça em frente e muito mais. Venha conhecer!!

Apartamento padrão em Bauru

• Referência: 428983
• Nome do empreendimento: Saint Tropez
• Caracteristicas do imóvel: Academia, Brinquedoteca, Churrasqueira, Forno de pizza, Piscina adulto, Piscina infantil, Playground, Salão de festas, Espaço Gourmet, Sistema contra incêndio, Acesso 24 horas, Área para carga e descarga, Vagas demarcadas, Portaria 24H, Portão eletrônico, Circuito interno de TV, Cancela dupla pedestre, Elevador social, Elevador de serviço, Hall Social, Medidor individual de gás
• Quartos: 3
• Suites: 1
• Banheiros: 2
• Vagas de garagem: 2
• Área útil: 84
• Área total: 84
• Imóvel vago: Sim
• Valor do condomínio: R$ 620
• Valor do IPTU: R$ 198
• Estado do imóvel:
• Ano de entrega: 0
• Anunciante: Imobi3 Negócios Imobiliários Ltda

Enviado pelo SIMBO CRM em",128,"['84m²', '3 quartos', '2 banheiros\n1 suíte', '2 vagas', 'Playground', 'Circuito de segurança', 'Espaço gourmet', 'Salão de festas', 'Piscina']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-aviacao-bairros-bauru-com-garagem-84m2-aluguel-RS2300-id-2524115487/
R$ 4.000/mês,R$ 560,,,"Vila Aviação, Bauru - SP","Apartamento com 03 suítes
Completo em armários super bem planejados
Ar condicionado nos 03 dormitórios e na sala
Area Gourmet
02 vagas de garagem
Em um dos melhores condomínios de Bauru.

Vamos conhecer?",27,"['120m²', '3 quartos', '5 banheiros\n3 suítes', '2 vagas', 'Quadra de squash', 'Playground', 'Quadra de tênis', 'Sala de massagem', 'Segurança 24h']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-aviacao-bairros-bauru-com-garagem-120m2-aluguel-RS4000-id-2521681786/
R$ 2.000/mês,R$ 250,,,"Avenida Affonso José Aiello - Vila Aviação, Bauru - SP","Apartamento mobiliado com marcenaria completa e planejada para maior experiência de moradia!
Dos itens dispostos nas fotos, somente a TV e a máquina de lavar que não ficarão no imóvel.

Colocamos fotos da vista que você terá da varanda, você viu?? Maravilhosa né?! Vamos conhecer?

40m² totalmente pensado para você, que procura um lugar agradável, com boa localização!! Áreas comuns totalmente equipadas. Ambientes inteligentes que potencializam a versatilidade de uso e promovem o compartilhamento.

Lobby | Sala de Entregas |Bike Sharing | Academia | Salão Multiuso | Cozinha Gourmet | Piscina | Lavanderia Coletiva.

**taxa de seguro incêndio: R$ 129,18
** taxa de mudança: R$ 116
**IPTU ( parcelado)",102,"['40m²', '1 quarto', '1 banheiro\n1 suíte', '1 vaga', 'Lavanderia', 'Espaço verde / Parque', 'Circuito de segurança', 'Conexão à internet', 'Espaço gourmet']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-aviacao-bairros-bauru-com-garagem-40m2-aluguel-RS2000-id-2489041806/
R$ 1.500/mês,,R$ 50,,"Jardim Nova Esperança, Bauru - SP","Excelente imóvel, localizado em rua de movimentação, sendo uma casa com ponto comercial, com 2 dorm, sala, cozinha, banheiro, garagem para 3 carros, salão amplo, com dois quartinhos, sem prateleiras o salão estará desocupado, sem móveis.
Venha conferir essa oportunidade -",40,"['150m²', '2 quartos', '1 banheiro', '3 vagas', 'Área de serviço']",https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-nova-esperanca-bairros-bauru-com-garagem-150m2-aluguel-RS1500-id-2516980805/
R$ 1.100/mês,R$ 500,R$ 92,,"Jardim Infante Dom Henrique, Bauru - SP","2 dormitorios, sala/copa, cozinha, area de servico, wc, tudo com armario,uma vaga de garagem",14,"['20m²', '2 quartos', '1 banheiro', '1 vaga', 'Conexão à internet', 'Interfone', 'Salão de festas', 'TV a cabo', 'Vigia']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-infante-dom-henrique-bairros-bauru-com-garagem-20m2-aluguel-RS1100-id-2491090111/
R$ 1.400/mês,R$ 180,,,"Vila Noemy, Bauru - SP","Excelente Apartamento com 1 dormitório, wc social, sala com ventilador, sacada, cozinha, área de serviço, completo em armários, geladeira, fogão, microondas, máquina de lavar, sofá, tv, cama, ar condicionado (dormitório) e 1 vaga de garagem (descoberta)!
Localização Privilegiada / Fácil acesso ao centro!",42,"['40m²', '1 quarto', '1 banheiro', '1 vaga', 'Ar-condicionado', 'Varanda', 'Mobiliado', 'Interfone', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-noemy-bairros-bauru-com-garagem-40m2-aluguel-RS1400-id-2525582987/
